Ligase4	b7b5dc
2030	-55.09961111
2035	66.91116667
2040	-82.93127778
2045	2.102527778
2050	-67.43641667
2055	-68.1095
2060	-47.82927778
2065	-8.417111111
2070	-137.6418056
2075	-66.72558333
2080	-11.87705556
2085	-55.63138889
2090	-51.66608333
2095	-13.87008333
2100	-79.5715
2105	50.98355556
2110	81.14680556
2115	-14.42005556
2120	-107.6979167
2125	-64.86697222
2130	5.332194444
2135	-98.45205556
2140	-32.58597222
2145	-88.20008333
2150	-118.0395833
2155	-52.462
2160	-21.20113889
2165	-31.11555556
2170	-132.9234444
2175	-167.8345
2180	-116.9277778
2185	-117.88225
2190	-10.18433333
2195	-63.03258333
2200	-60.55852778
2205	-53.752
2210	-85.36813889
2215	-73.35697222
2220	-82.21855556
2225	-4.745111111
2230	-29.06413889
2235	-158.7986111
2240	-58.099
2245	-68.37736111
2250	-41.65175
2255	27.68733333
2260	-10.59602778
2265	-101.4623333
2270	-101.0945833
2275	-75.37158333
2280	-70.09427778
2285	-80.23808333
2290	-23.643
2295	47.67838889
2300	-59.47416667
2305	-70.10652778
2310	-55.78669444
2315	-42.78013889
2320	-47.04705556
2325	-41.76455556
2330	-47.98419444
2335	-21.10191667
2340	-70.34922222
2345	-234.4964167
2350	-85.41197222
2355	-87.24638889
2360	55.55238889
2365	-31.06877778
2370	-10.97355556
2375	-148.7002222
2380	-17.68791667
2385	-69.15630556
2390	-39.17816667
2395	-58.14108333
2400	-113.0631389
2405	-159.6097778
2410	36.47858333
2415	-96.48786111
2420	-121.7281667
2425	-134.0415833
2430	12.64716667
2435	-43.30933333
2440	-109.0849167
2445	-100.8528611
2450	-28.64641667
2455	-63.08527778
2460	-49.82830556
2465	-36.57991667
2470	-68.62994444
2475	-104.9197778
2480	-49.51091667
2485	-20.69625
2490	-46.945
2495	-75.04936111
2500	-113.6229167
2505	-14.33997222
2510	-56.65916667
2515	-160.4379722
2520	-130.0045833
2525	-140.3286667
2530	-73.18211111
2535	-39.95308333
2540	-100.5733056
2545	-66.80888889
2550	-80.48688889
2555	-69.55605556
2560	-50.21591667
2565	-93.58202778
2570	-51.38966667
2575	-57.17561111
2580	-46.52594444
2585	-142.7466944
2590	-44.20825
2595	-85.53025
2600	-75.26091667
2605	-39.50827778
2610	23.54169444
2615	-133.9328056
2620	-33.12111111
2625	-47.08966667
2630	-7.894444444
2635	-98.74969444
2640	-53.96547222
2645	14.62072222
2650	-1.113888889
2655	-66.67419444
2660	-106.0615278
