PCNA	f4b183
1880	19039.32708
1885	19836.72023
1890	19370.89449
1895	19269.87642
1900	19215.84629
1905	20003.30258
1910	19109.14809
1915	18893.87739
1920	18972.19243
1925	19900.93377
1930	19125.0098
1935	18443.6073
1940	19376.28379
1945	19218.33832
1950	18695.20429
1955	18345.85228
1960	18015.14278
1965	18599.56748
1970	18701.43644
1975	19183.0115
1980	18556.02393
1985	19281.76438
1990	19166.1681
1995	18885.28725
2000	18197.8687
2005	18948.9722
2010	19197.09039
2015	19125.1569
2020	18501.96346
2025	18953.0617
2030	18630.25443
2035	18107.37882
2040	17906.54289
2045	18765.76958
2050	18932.07591
2055	18658.21583
2060	17907.58567
2065	17948.56258
2070	18901.23018
2075	18428.42093
2080	18609.41031
2085	17357.6676
2090	18051.91372
2095	18811.86732
2100	18555.18792
2105	18192.03563
2110	17971.86704
2115	17855.12568
2120	18785.4927
2125	17946.94964
2130	18300.87483
2135	18309.98022
2140	17504.8709
2145	17202.22533
2150	17051.30193
2155	17634.9353
2160	17146.75427
2165	16861.2499
2170	16544.15261
2175	16987.12852
2180	16932.46797
2185	17378.53841
2190	16775.48779
2195	17610.4618
2200	17380.94934
2205	16797.95358
2210	16921.92142
2215	17298.37987
2220	17087.12813
2225	17567.49937
2230	17044.0045
2235	17132.9959
2240	16279.81047
2245	16895.56534
2250	17449.9521
2255	17193.76901
2260	17791.97209
2265	16688.91995
2270	17063.87284
2275	16747.95505
2280	16433.06222
2285	16697.26329
2290	16673.92684
2295	16209.86703
2300	16727.87409
2305	16525.96828
2310	16860.06243
2315	15815.9997
2320	15866.23045
2325	15633.04092
2330	15585.60502
2335	16297.96139
2340	15723.69047
2345	17171.20334
2350	17283
2355	15730.90632
2360	16696.73021
2365	16512.50328
2370	16078.53436
2375	15946.5888
2380	16554.03268
2385	15856.91038
2390	15892.43306
2395	16975.92393
2400	16322.92306
2405	16266.14412
2410	16376.85727
2415	16454.00551
2420	16065.88878
2425	16655.18882
2430	16455.06583
2435	17479.89577
2440	16392.06631
2445	15930.30859
2450	15920.4562
2455	16145.70585
2460	15865.58191
2465	14996.37445
2470	15242.64861
2475	15626.56398
2480	15589.30016
2485	15604.01271
2490	15126.86492
2495	14823.30241
2500	15743.6869
2505	15942.82295
2510	13675.52563
2515	14835.69169
2520	14989.61713
2525	14542.92407
2530	15501.41576
2535	14972.68855
2540	15136.72586
2545	14757.7791
2550	14969.09547
2555	14835.45292
2560	14881.78695
2565	14760.86684
2570	15048.91779
2575	15011.44914
2580	14899.47994
2585	14864.58939
2590	14872.20261
2595	14853.73566
2600	15451.09813
2605	15189.28874
2610	14949.36396
2615	15260.68101
2620	16032.63477
2625	15242.51367
2630	15155.53973
2635	14799.27763
2640	15049.58197
2645	15941.70006
2650	14924.13826
2655	15748.89911
2660	15263.0309
