PCNA	f4b183
2380	7969.442423
2385	8377.034096
2390	8859.968462
2395	8837.241913
2400	8159.801067
2405	8386.705625
2410	8333.176712
2415	8651.783356
2420	9606.857577
2425	10497.90064
2430	8705.163356
2435	8996.887279
2440	7267.459788
2445	7174.386096
2450	8848.172587
2455	8587.618
2460	8993.925192
2465	7476.293183
2470	7495.677596
2475	7074.573048
2480	7146.682308
2485	8018.163933
2490	8168.922221
2495	8830.016423
2500	6886.816385
2505	7110.525433
2510	9158.33301
2515	7456.511558
2520	7555.393365
2525	8044.56526
2530	7848.795221
2535	6960.776029
2540	7342.467548
2545	6649.369375
2550	7718.398356
2555	7841.47476
2560	7878.277471
2565	6837.636692
2570	8726.204288
2575	6007.317788
2580	7046.109654
2585	7431.543788
2590	7039.031115
2595	6626.478548
2600	8526.804423
2605	6943.472808
2610	7049.667721
2615	7836.466135
2620	7789.502163
2625	6066.896904
2630	7276.432519
2635	6851.303712
2640	7644.342923
2645	7438.782356
2650	6838.511048
2655	7072.500356
2660	8564.118769
2665	7850.071692
2670	7721.961327
2675	7804.683817
2680	8699.110538
2685	7265.348356
2690	6969.704135
2695	5746.024192
2700	8639.325298
2705	8580.054308
2710	8279.274779
2715	8024.377433
2720	6467.471173
2725	7181.208981
2730	6991.144077
2735	8330.282788
2740	6704.621663
2745	6377.318702
2750	7905.294885
2755	6268.309144
2760	8317.159769
2765	7337.379808
2770	6069.900019
2775	7054.876423
2780	6517.609894
2785	5725.738452
2790	7040.834913
2795	7331.772096
2800	6340.919577
2805	5204.10424
2810	5982.451692
2815	5236.365173
2820	7497.428433
2825	7319.20599
2830	6750.692644
2835	7613.901808
2840	8296.111971
2845	6477.140087
2850	5223.87524
2855	5748.670962
2860	6066.586817
2865	6544.649048
2870	6758.610067
2875	5038.322202
2880	7708.723231
2885	6617.861346
2890	6423.125202
2895	5421.282673
2900	5671.438654
2905	6676.014096
2910	6016.65275
2915	4893.766952
2920	6116.265558
2925	4938.22375
2930	5396.395327
2935	5393.760817
2940	5421.097471
2945	5567.090038
2950	6182.954596
2955	5541.301202
2960	6045.046183
2965	3868.144856
2970	3743.733788
2975	4601.724115
2980	5092.796904
2985	5310.259433
2990	4598.650875
2995	6671.535413
3000	5741.568231
3005	6376.934077
3010	4879.407837
3015	4628.309337
3020	5288.123471
3025	6498.505654
3030	5523.862798
3035	4918.938558
3040	5937.401692
3045	4902.066875
3050	5116.638423
3055	5348.630394
3060	6071.875125
3065	6193.192356
3070	3243.911231
3075	6011.863654
3080	6147.838808
3085	5528.856221
3090	5579.587
3095	4324.126212
3100	5254.088654
3105	5068.649058
3110	6848.724125
3115	5885.726106
3120	4645.961712
3125	5603.34924
3130	4686.704173
3135	5286.31575
3140	6361.288356
3145	4394.66199
3150	5117.541548
3155	3827.948192
3160	5529.860692
3165	4141.259663
3170	6323.474471
3175	3598.648596
3180	5007.852808
3185	4114.260558
3190	4173.80649
3195	5743.440519
3200	4901.418423
3205	4999.783038
3210	6015.988933
3215	6002.03749
3220	4600.42574
3225	5764.824231
3230	5048.051923
3235	3866.489317
3240	5147.85974
3245	5423.466356
3250	4377.294529
3255	6360.940183
3260	4708.34174
3265	4685.89324
3270	5862.675413
3275	5652.265269
3280	5100.286385
3285	5470.720471
3290	6331.834058
3295	4025.696769
3300	5385.865952
3305	5507.764779
3310	5555.836202
3315	5853.065183
3320	4820.033702
3325	7054.231077
3330	5146.305221
3335	3033.884731
3340	5631.989663
3345	4738.92425
